SHAP Aggregated — HURRAH | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
CLORTALIDONE                                  0.033454      0.020779
FC                                            0.030709      0.024953
PCR                                           0.030549      0.019933
HB                                            0.030359      0.015680
EXFUMO                                        0.030157      0.023251
DIABETE                                       0.029534      0.016409
VITA                                          0.029086      0.021542
MENOPAUSA                                     0.028230      0.017707
CT                                            0.026718      0.017354
CAA_DIID                                      0.026458      0.020971
PAD                                           0.025784      0.014548
ACEI                                          0.025028      0.011155
PESO                                          0.024731      0.015772
ANNI_MENOP                                    0.024243      0.009334
INDAPAMIDE                                    0.024030      0.017860
BETABLOCCANTI                                 0.023059      0.017092
RESINE                                        0.022702      0.016071
IRC                                           0.021841      0.010872
NF_FA                                         0.021374      0.018723
BMI                                           0.020941      0.011085
TG                                            0.020435      0.010897
GOTTA                                         0.020100      0.012729
DELL_ANSA                                     0.018926      0.009867
ACIDO_NICOTINICO                              0.018741      0.010629
IPERTESO                                      0.016631      0.011025
DIURETICI                                     0.016573      0.007080
ALTRO_CAA                                     0.015758      0.008276
HDL                                           0.015269      0.008324
FU_NF_FA                                      0.014426      0.008074
ALB_CAT                                       0.014313      0.009358
ALLOPURINOLO                                  0.014142      0.008383
FIBRATI                                       0.012697      0.007197
HF_BASE                                       0.012458      0.006935
CBV_BASE                                      0.011945      0.008197
