SHAP Aggregated — OrmoniTirodei | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                          68.361044      7.447236
Creatinina                                   33.324121      5.292055
Diuretics                                    25.364403      3.275841
fe                                           19.664653      3.431385
WmsiBas                                      12.800442      3.004272
fT3                                           8.641298      2.529067
EPA                                           8.103381      2.665618
Weight                                        6.560540      1.709175
BMI                                           6.277812      1.694683
Ipolipemizzanti                               4.399947      1.053890
Post-ischemic Dilated
Cardiomyopathy                                4.342629      1.354511
Dyslipidemia
Hystory of dyslipidemia                       4.318333      1.217750
vsx                                           4.266121      1.489641
Glycemia                                      3.999984      1.548831
Valvulopatie                                  3.965350      1.307660
fT4                                           3.950913      0.968668
Aritmie                                       3.192692      1.076247
Angiography                                   3.142602      1.092766
Euthyroid                                     3.030059      0.923583
Total cholesterol                             2.886165      0.909687
HR                                            2.515677      0.658857
LDL                                           2.386609      0.911237
DimPP                                         2.218441      0.787860
Atrial Fibrillation                           2.184962      0.665371
DimSettoIV                                    2.053602      0.647543
Diabetes
History of diabetes                           1.862710      0.534803
TSH                                           1.712226      0.569077
Height                                        1.545935      0.618547
Systolic blood pressure                       1.487731      0.555724
Diastolic blood pressure                      1.483747      0.736417
Low T3                                        1.396313      0.648668
HDL                                           1.226324      0.500316
PMI                                           1.140083      0.418399
Previous Myocardial Infarction                0.965669      0.429349
Antidiabetici                                 0.933338      0.338782
Amiodarone                                    0.921051      0.433858
Vessels                                       0.870204      0.297865
Previous CABG                                 0.862876      0.287322
CAD                                           0.852762      0.317838
Documented resting
or exertional ischemia                        0.844426      0.330348
Antiplatelet                                  0.820936      0.332161
MalattiaVasoAorta                             0.813807      0.404519
Angina                                        0.810541      0.372447
CABG                                          0.801764      0.384905
B-Blockers                                    0.791294      0.317833
Triglycerides                                 0.789876      0.360680
PCI                                           0.786181      0.312658
Gender (Male = 1)                             0.785820      0.299239
